| C-14 | Each technical role section explicitly anchors at least one finding against the Inertia Advocate's verdict | aspirational | depth | When the Inertia Advocate is a selected reviewer, each subsequent technical role section must contain at least one finding that names the Inertia Advocate's assessment as the counterpoint -- e.g., "IA found the current error-handling sufficient; compiler-lead rates P1 because the new codegen path bypasses the existing guard." The anchor may appear in any finding within the section; it does not need to be F-01. A technical role section with zero IA references fails. A run that does not include the Inertia Advocate as a selected reviewer passes by default. |
| C-15 | Domain-lens validity check is stated as an explicit rewrite gate, not a naming contract | aspirational | correctness | The skill must include a domain-lens validity check expressed as: (a) a binary test -- "would only this role raise this finding given their domain?" -- and (b) a rewrite consequence -- "if any generic reviewer could write the same sentence, revise it." A specificity contract (e.g., "name the file and line") that does not include the domain-lens test fails -- specificity ensures location precision, not role-domain fidelity. A skill that enforces naming precision without the explicit rewrite gate passes C-05 but fails C-15. |
| C-16 | AMEND scope disclosure is a structured block with named output fields, not prose instructions | aspirational | format | When the skill includes AMEND mode handling, the scope disclosure must be a structured output block with named fields enumerated as template slots -- not a prose instruction describing what to say. The block must name at minimum: (a) what was amended, (b) which roles were added or removed, (c) which prior findings are superseded. A disclosure format expressed as prose instruction ("state what role was added, which files triggered it...") without a templated output block fails. A run in default mode passes by default. |
| C-17 | Inertia Advocate section frames the status quo as a budget authority position with explicit cost terms | aspirational | depth | When the Inertia Advocate is a selected reviewer, their section must frame the status quo in cost terms -- not as opinion or risk-listing, but as a cost/risk tradeoff: what the current state costs to maintain and what the proposed change costs to adopt. The IA as budget authority means their verdict is expressed as a quantified position (e.g., "maintaining current error-handling costs Y in incident exposure; adopting this change costs Z in integration risk"), not as enumerated concerns without cost framing. A section that lists IA risks without cost framing fails. A run that does not include the Inertia Advocate as a selected reviewer passes by default. |
| C-18 | Review process is structured as named phase gates with explicit entry and exit conditions, with domain-lens validity as the finding-generation exit gate | aspirational | structure | The skill structures the review output as a sequence of named phases (e.g., Routing, Role Activation, Finding Generation, Synthesis, Decision), where each phase names: (a) its entry condition -- what must be true to begin, (b) its exit condition -- what must be satisfied to advance, and (c) which rubric criteria the phase gates. The domain-lens validity check (C-15's binary test + rewrite consequence) must be positioned as the exit condition for the finding-generation phase -- no finding advances to synthesis without passing it. A review that produces correct output without a phase-gate structure passes other criteria but fails C-18. |
| C-19 | IA cost framing uses a named-row, named-column ledger schema with Budget verdict and Budget strength fields | aspirational | format | When the Inertia Advocate is a selected reviewer, the cost framing required by C-17 must be expressed as a structured ledger with: (a) named row categories covering at minimum maintenance cost and incident exposure as distinct rows, (b) two named columns for current-state cost and adoption cost, and (c) explicit terminal fields for `Budget verdict` (the IA's overall tradeoff conclusion) and `Budget strength` (the confidence or weight of that position). A cost section that expresses tradeoffs in prose, as bullet points, or as a list of concerns without a named-row x named-column schema fails -- C-17 requires cost terms; C-19 requires that those terms appear in a structured, independently auditable ledger. A run that does not include the Inertia Advocate as a selected reviewer passes by default. |
| C-20 | Technical role phase names IA phase completion as an explicit entry condition in the pipeline declaration | aspirational | structure | When the skill includes a phase-gate pipeline declaration (C-18) and the Inertia Advocate is a selected reviewer, the entry condition for the technical role phase must explicitly state: (a) the IA phase has exited, and (b) each technical role reads the IA section before generating findings. A pipeline declaration where the technical role phase has no entry condition, or where the entry condition does not name IA phase completion and read prerequisite, fails -- C-11 requires sequencing, C-14 requires per-role anchoring, but neither enforces the read dependency as a structural pipeline gate. A skill that passes C-11 and C-14 without this declared entry condition passes those criteria and fails C-20. A run that does not include the Inertia Advocate as a selected reviewer passes by default. |
| C-21 | Cost ledger includes a per-row Net direction column (WORSE/BETTER/NEUTRAL), and Budget verdict is explicitly derived from the row Net directions | aspirational | format | When the Inertia Advocate is a selected reviewer, the cost ledger must include a Net direction column with a WORSE / BETTER / NEUTRAL value per row, and the Budget verdict must explicitly name which rows are WORSE and which are BETTER as the basis for its tradeoff conclusion. A cost ledger that uses only two columns (current-state and adoption) without a Net direction column fails. A Budget verdict that draws a conclusion without citing row Net directions fails -- the verdict must be a derivation from the row evidence, not a standalone assertion. A run that does not include the Inertia Advocate passes by default. |
| C-22 | Phase C entry condition is structured as two independently auditable sub-conditions: a pre-flight Phase B exit checklist (C1) and a per-role IA read prerequisite (C2) | aspirational | structure | When the skill includes a phase-gate pipeline declaration (C-18) and the Inertia Advocate is a selected reviewer, the entry condition for the technical role phase must be structured as exactly two named sub-conditions: (a) C1 -- a pre-flight checklist verifying all Phase B exit conditions before the phase begins, where any unchecked item blocks Phase C from starting; and (b) C2 -- a per-role condition verified by citing specific Phase B content in each role's output section, where a role section missing the citation fails C2 for that role independently. A single-sentence or single-clause entry condition that conflates both requirements fails even if both requirements are mentioned -- the dual-clause structure is required so each sub-condition is independently checkable. A run that does not include the Inertia Advocate passes by default. |
| C-23 | Each technical role section begins with a named IA READ RECEIPT output block before any findings | aspirational | structure | When the Inertia Advocate is a selected reviewer, each technical role section must begin with a named IA READ RECEIPT output block that appears before any finding is written. The receipt block must state at minimum: (a) which IA section was read, (b) the Budget verdict restated accurately (not as a placeholder), (c) the Budget strength value from the IA's terminal field, (d) the cost row most relevant to this role's domain, and (e) the role's initial position on that row. A role section that begins with findings before a receipt block fails. A receipt block that uses placeholder text (e.g., "see Phase 2" without restating content) fails. The receipt is an output artifact -- it must appear in the text for compliance to be verifiable post-hoc per role. A run that does not include the Inertia Advocate passes by default. |
| C-24 | Per-role findings are output as a named-field table with an explicit Domain-Lens column showing gate compliance per finding | aspirational | format | Per-role findings must be output in a table that includes a named Domain-Lens column. The column must show a gate compliance value (e.g., "Passed") for every finding in the table, making each finding's domain-lens gate result independently auditable without re-running the gate. A finding output as prose or as a numbered list without a table structure fails. A findings table that omits the Domain-Lens column fails even if the findings themselves reflect gate application. A table entry with a missing or empty Domain-Lens cell fails for that finding. A role section with no findings passes by default. |
